"TRANSM","chaintype","mwmb","N"
"MSM","pre-existing","NL",86
"MSM","emergent","G3",29
"MSM","emergent","Other",28
"MSM","pre-existing","G3",24
"MSM","emergent","NL",59
"HSX","emergent","NL",12
"MSM","pre-existing","G1",25
"HSX","emergent","G4",7
"MSM","pre-existing","G2",9
"HSX","emergent","G5",6
"MSM","pre-existing","Other",14
"MSM","emergent","G1",15
"HSX","pre-existing","G5",8
"MSM","emergent","G2",8
"HSX","pre-existing","Other",3
"HSX","emergent","Other",2
"HSX","pre-existing","NL",2
"HSX","pre-existing","G4",4
